,0
Current - Driving axle X L2 - mean,0.3558606281481314
Accelerometer - Spindle -X - std,0.11963310653028308
Current - Driving axle X L1 - mean,0.05089879419304841
ToolHolder_Hardness_Ratio,0.03497613604198123
Current_Row_STD,0.03463172829202061
HardnessMean,0.03370899615761627
Accelerometer - Y Driving axle +Y - mean,0.033379293371324496
Current_Row_RMS,0.022279655823675807
Accelerometer - X Driving axle +Z - std,0.019701987866813247
Accelerometer - X Driving axle -X - skew,0.017562288887389817
Current - Spindle L1 - std,0.015111644335994677
Accelerometer - Spindle +Y - mean,0.012762610875133544
SampleIndex,0.011715485279783845
Accelerometer - X Driving axle -X - std,0.010550705522625976
Accelerometer - Spindle -Z - skew,0.010309414572943088
Current_Row_Min,0.01000825110292444
Accelerometer - Spindle -Z - std,0.009639171835493673
Current_Row_Mean,0.00953023565994877
Accelerometer - Y Driving axle +Y - std,0.008603092704299924
Accelerometer - Spindle +Y - kurtosis,0.007673092887441717
Accelerometer - X Driving axle -X - mean,0.006530834365718065
Current - Spindle L2 - std,0.0059472146880282205
Current - Driving axle X L3 - mean,0.005646741673937088
Current - Driving axle X L3 - kurtosis,0.005485015914731856
Current - Spindle L1 - max,0.004771041760062069
Accelerometer - Y Driving axle -X - std,0.004129886517394056
Current - Spindle L2 - max,0.003859333621204807
Accelerometer - Y Driving axle +Z - std,0.003711317287663674
Accelerometer - Y Driving axle +Z - kurtosis,0.003613275739874455
Accelerometer - Spindle -X - kurtosis,0.0033476688314625766
Accelerometer - Y Driving axle +Z - skew,0.0032398180337812627
Accelerometer - Y Driving axle +Y - min,0.003239481636184774
Accelerometer - Spindle -Z - max,0.0031603442399865014
Accelerometer - Spindle +Y - std,0.0030214070546097605
Accelerometer - X Driving axle +Z - mean,0.0029052650471378637
Current - Spindle L2 - mean,0.0028573461407726706
Current - Driving axle Z L1 - min,0.0027596099524589894
Accelerometer - Spindle -X - max,0.0027492476383190216
Accelerometer - Y Driving axle -X - kurtosis,0.0027425070237125948
Current - Spindle L3 - std,0.0026374537703796027
Current - Driving axle X L2 - min,0.0026127166632639556
Accelerometer - Spindle -X - min,0.0025607440480466003
Accelerometer - X Driving axle +Z - max,0.0024790691476814265
Accelerometer - Y Driving axle -X - mean,0.002434251001339602
Current - Spindle L2 - kurtosis,0.0023749857915171414
Current - Driving axle X L2 - std,0.0023616046978763706
Current - Driving axle X L2 - kurtosis,0.002245787066191253
Accelerometer - X Driving axle +Z - skew,0.002198970317128592
Current - Driving axle Z L3 - min,0.0021820297429922665
Accelerometer - X Driving axle +Z - kurtosis,0.00216342536835519
Current - Driving axle X L1 - kurtosis,0.00210168882254544
Accelerometer - Spindle +Y - skew,0.001988119903836611
Accelerometer - X Driving axle -X - kurtosis,0.00195308132087669
Accelerometer - Y Driving axle -X - skew,0.001941784951278324
Current - Spindle L1 - kurtosis,0.001901218803924675
Current - Spindle L1 - mean,0.0018979388867652795
Current - Driving axle X L3 - std,0.0018769061026334133
Current - Spindle L2 - skew,0.0018208681827386886
Current - Driving axle X L1 - std,0.0018147269395685376
Accelerometer - Y Driving axle +Y - skew,0.0017820811676647274
Accelerometer - X Driving axle +Z - min,0.0017175892857854021
Current - Spindle L3 - kurtosis,0.0016568337142297575
Current - Driving axle Z L2 - min,0.001647068170052434
Current - Spindle L1 - skew,0.0015851834519860467
